epoch,train_ce,rec_s,rec_t,val_ce,val_acc
1,2.7603967794731483,0.05043923611571984,0.05373782433791837,2.1809766557481556,0.3159722222222222
2,1.9743015161201136,0.009465341171277548,0.010212334484529139,1.5630585882398818,0.4756944444444444
3,1.5136736613601,0.006343223460352243,0.006466896829209221,1.2153324948416815,0.5590277777777778
4,1.2925712884362064,0.005048613341997808,0.0051650261409135895,1.325646373960707,0.484375
5,1.1668285745293347,0.004292257811262536,0.004623512549798435,1.1481572654512193,0.5920138888888888
6,1.103111764388298,0.003746093667821208,0.004176458250036213,1.2812553776635065,0.5208333333333334
7,1.0230029367688875,0.0034748507774810295,0.0039416676032732224,1.3121714856889513,0.4965277777777778
8,0.9240186801597253,0.0032277700748405795,0.0037147194432066892,1.0858307547039456,0.6111111111111112
9,0.91266732696277,0.003079803879442277,0.0035161037352492114,1.1891244517432318,0.5572916666666666
10,0.8786982893943787,0.002771113248569752,0.0033017753644276468,1.2036509778764513,0.5798611111111112
11,0.8424082754263237,0.00278911221800233,0.0032129360209983675,1.1590683592690363,0.5833333333333334
12,0.8046675804835647,0.002569669273807042,0.0031284264344444025,1.1330415805180867,0.5989583333333334
13,0.7570202866596962,0.002568199830963763,0.00304763342962781,1.1313936312993367,0.5972222222222222
14,0.7666632288427495,0.0024860308335315604,0.002980977126550096,1.2785992092556424,0.5607638888888888
15,0.7588863893231349,0.002442060497158499,0.0028785280257797065,1.3252236048380535,0.5364583333333334
16,0.7301877608050161,0.0023847719682241553,0.0028431732207536697,1.214280128479004,0.5850694444444444
17,0.6933218512072492,0.0023667773617598326,0.002765345494888389,1.10029137134552,0.6232638888888888
18,0.6920799052537377,0.002274314174428582,0.002759121466122234,1.4505874050988092,0.5069444444444444
19,0.6471232482746466,0.0022267558604979246,0.0026388760419812666,1.2940786414676242,0.5729166666666666
20,0.6731682784521758,0.0021977629356169657,0.0026049335945898026,1.1816700829399958,0.6006944444444444
21,0.6427535552587083,0.0021404295555079605,0.0025662779981798643,1.2563048468695746,0.5902777777777778
22,0.644070123113803,0.002113021649559265,0.0025557471654697587,1.1755515734354656,0.6076388888888888
23,0.6331987807999796,0.00217083503262821,0.0025069921541569836,1.3320123619503446,0.5642361111111112
24,0.627707096622951,0.0021316681731381078,0.0024942266372546774,1.1318574613995023,0.6336805555555556
25,0.5667580077007636,0.00209625305281257,0.002460006297802302,1.330981731414795,0.578125
26,0.5861561329507116,0.0020843758908058725,0.0024175699244239437,1.2960895432366266,0.5902777777777778
27,0.5809263266734223,0.002049459174011292,0.0024125288873076884,1.2735900084177654,0.5972222222222222
28,0.5631034432062462,0.002070815834119471,0.0023770452261582683,1.2636526160769992,0.5972222222222222
29,0.5630966055749068,0.002024946016704302,0.0023772040201323246,1.5985726515452068,0.5381944444444444
30,0.5480370877394035,0.0020093256486023764,0.002335587933437148,1.410218424267239,0.5694444444444444
31,0.5350392096078218,0.0020567909015147988,0.0023140982557922156,1.4066504372490778,0.5642361111111112
32,0.4935919771443552,0.0019795222437259423,0.002296909967909998,1.3132488992479112,0.6041666666666666
33,0.5599581052118273,0.0020367920193682188,0.0022868166622052443,1.4949595928192139,0.5347222222222222
34,0.517602630070786,0.0019797410680425925,0.002263669925394343,1.3846288257175021,0.5815972222222222
35,0.49653827654781624,0.001985098490727815,0.0022790110079265796,1.580955531862047,0.5243055555555556
36,0.4977004732658614,0.0019742570393510273,0.0022261685538870184,1.3108876678678725,0.6163194444444444
37,0.48572164440332954,0.0019589362235100413,0.002217173803972998,1.4831919935014513,0.5711805555555556
38,0.4974570450053286,0.001981623119799726,0.0022120817995338296,1.4595869647132025,0.5572916666666666
39,0.47818100719309564,0.0019590372494213393,0.0021957827422684475,1.3365721702575684,0.6076388888888888
40,0.4907022327629488,0.0019533300994714693,0.002144892442860265,1.5524109204610188,0.5555555555555556
41,0.49216792565673145,0.001931686614598356,0.0021612321064849176,1.3437583711412218,0.5989583333333334
42,0.47663874901942355,0.001964298036964193,0.0021249890803540154,1.465834167268541,0.5486111111111112
43,0.48271851397272364,0.0019556511134437436,0.00211997205259473,1.3679787317911785,0.578125
44,0.46894175970732277,0.0019134601661518439,0.002104428695834506,1.4809723695119221,0.5711805555555556
45,0.43452329355389324,0.0019554133829313204,0.0020922367467975885,1.4257111814286973,0.5746527777777778
46,0.4284974708041148,0.0019196443131137917,0.0020855398250938352,1.4120132393307157,0.59375
47,0.4322652663312741,0.001904165589445229,0.002042307806854595,1.4913271533118353,0.5607638888888888
48,0.4106260667096323,0.0019009205471001455,0.002041784612072715,1.6534331109788682,0.5434027777777778
49,0.4168026256027506,0.0019010430750951394,0.002009505188829307,1.4772392643822565,0.5798611111111112
50,0.4026242981650936,0.001899707323954955,0.002008491331266601,1.495349989997016,0.5711805555555556
51,0.4172113322055162,0.0019197800047278627,0.002002084257651065,1.5684402253892686,0.5607638888888888
52,0.4190040259663738,0.0019064106015877714,0.0020039473875745465,1.4851339393191867,0.5885416666666666
53,0.4119070454764722,0.0018623792618485306,0.0019910481615937245,1.565623230404324,0.5503472222222222
54,0.40111479496777946,0.0018569212285245754,0.001980459717199651,1.5139616860283747,0.5729166666666666
55,0.40555738446427814,0.0018583065760669423,0.0019577098419584,1.5043347146775987,0.5694444444444444
56,0.38676080552499686,0.001871650833497519,0.0019417891344889553,1.6219282680087619,0.5642361111111112
57,0.39037787691870734,0.0018648194816352716,0.0019376238272872878,1.4241849051581488,0.5798611111111112
58,0.39401610818371846,0.0018722353496157856,0.001909812771604021,1.5342697832319472,0.5746527777777778
59,0.38962615492628583,0.0018618121819654063,0.0018912420204993505,1.5378650029500325,0.5815972222222222
60,0.38565893849330163,0.0018644555673392406,0.0018796240858761455,1.4635092152489557,0.578125
61,0.38643936034458787,0.0018371458585832768,0.0018831438701182826,1.665703641043769,0.5520833333333334
62,0.3654468424284636,0.0018549404166110638,0.0018497767159715295,1.514249669180976,0.5729166666666666
63,0.3679503825173449,0.001868562583477973,0.001875569169937786,1.5523085329267714,0.5815972222222222
64,0.35460554130041777,0.0018260865472257137,0.0018302661179106182,1.617245939042833,0.5902777777777778
65,0.36776133704541336,0.0018350910899271049,0.0018317705253139138,1.5346716774834528,0.5590277777777778
66,0.3655475013291658,0.0018162328016652323,0.0018203458140618098,1.4714008702172174,0.5746527777777778
67,0.3558420107435824,0.001823636378272812,0.0018100131636680063,1.529037978914049,0.5902777777777778
68,0.3690978250841596,0.0018225251297369154,0.0018056293136315114,1.5005114873250325,0.6024305555555556
69,0.34457138803467824,0.0017965765975749314,0.0017725124976027812,1.5432452890608046,0.5746527777777778
70,0.3725640380115651,0.0018268054326885004,0.0017727097138456667,1.5119149155086942,0.6041666666666666
71,0.3386540408454724,0.0018107216968548609,0.0017795165316132244,1.5047369003295898,0.5920138888888888
72,0.353237584233284,0.0018189726102012973,0.0017802537099194172,1.6648083527882893,0.5798611111111112
73,0.3460862489778604,0.0018070382500456562,0.0017745325275794117,1.6636869377560086,0.5590277777777778
74,0.3333575705538935,0.0017971216436864724,0.0017553132058663377,1.521358887354533,0.5850694444444444
75,0.3274123266116897,0.0017877243904035483,0.0017384987345326747,1.598737849129571,0.5607638888888888
76,0.3348248138356565,0.001780662094868386,0.0017280826004527842,1.621507591671414,0.5954861111111112
77,0.35043951646605537,0.0017774067558487183,0.00173592593159471,1.8271550602383084,0.5555555555555556
78,0.35844059399704437,0.0017720758046176452,0.0017062966440762601,1.6683077547285292,0.5746527777777778
79,0.34077277957503477,0.0017694478103918816,0.0017273320465473765,1.6110182338290744,0.5729166666666666
80,0.31792903747131573,0.0017582528161079582,0.0016919040249716213,1.5439540545145671,0.5920138888888888
81,0.35149346625626976,0.0017783353574323789,0.00168994439890914,1.5085891617669,0.5729166666666666
82,0.3452739448689703,0.001754739024648582,0.0016882945835562562,1.430567529466417,0.5659722222222222
83,0.3199735962188066,0.0017509995438436518,0.001668603880567226,1.4752068519592285,0.5972222222222222
84,0.3169376689996292,0.001746030220303184,0.0016626529760464135,1.5770539442698162,0.5798611111111112
85,0.30600747443846804,0.001757853591481029,0.0016601991096038872,1.6170048713684082,0.5729166666666666
86,0.3035691920945893,0.0017686684636760558,0.0016518710945635589,1.5913757218254938,0.5659722222222222
87,0.3197260632443784,0.0017251343702647224,0.0016361540583059637,1.7409107949998643,0.5503472222222222
88,0.2891315288508116,0.0017379610747126724,0.001646708721406202,1.6426472398969862,0.5920138888888888
89,0.29177494636222495,0.0017619455969934143,0.001623386630107329,1.7648039129045274,0.5607638888888888
90,0.2929843822077139,0.0017507943296944028,0.0016333714349945978,1.654807408650716,0.5711805555555556
91,0.3042030505724807,0.0017268976975065558,0.0016209345012069194,1.7432029247283936,0.5520833333333334
92,0.3048324572728641,0.0017292415810081718,0.0016118533971872348,1.7169067859649658,0.5590277777777778
93,0.2830489339001143,0.0017249682647134386,0.0016059993901776511,1.7544362280103896,0.5677083333333334
94,0.31498925165453956,0.0017455728053907627,0.0015961270529165196,1.7127198378245037,0.5659722222222222
95,0.281283290306134,0.0017217726519664943,0.0016046944195960663,1.7076566484239366,0.5538194444444444
96,0.28813319441987506,0.0017341134649242705,0.0015949561510846687,1.753313938776652,0.5381944444444444
97,0.27984062126323356,0.001713184599848047,0.0015920163253878258,1.681260108947754,0.5694444444444444
98,0.2840156028075005,0.0016997294316290698,0.001570201325994819,1.6614862283070881,0.578125
99,0.2958243909611631,0.0017191333776173084,0.0015746594542192657,1.6266720559861925,0.5920138888888888
100,0.30191130624778234,0.001709599774191851,0.0015620322769452164,1.716874811384413,0.5729166666666666
