10000004:-64,00000021:-64,10000009:-65,10000031:-69,10000016:-48,10000425:-56,10000426:-62,00000048:-72,00000427:-62,10000007:-73,10000428:-54,00000015:-80,10000022:-80,10000024:-83,00000003:-65,00000429:-66,00000430:-58,00000059:-82,00000028:-80,10000055:-86,10000013:-76,00000054:-76,00000053:-89,00000026:-86,00000061:-85,10000023:-83,00000052:-81,10000431:-64,00000005:-70,00000029:-76,10000050:-88,10000046:-88,10000108:-89,10000038:-87,10000000:-61,10000067:-87
10000004:-61,00000021:-61,10000009:-66,10000031:-73,10000016:-50,10000425:-55,10000426:-58,00000048:-72,00000427:-60,10000007:-75,10000428:-61,00000015:-80,10000022:-74,10000024:-83,00000003:-68,00000429:-73,00000430:-58,00000059:-85,00000028:-79,10000055:-86,10000013:-77,00000054:-75,00000053:-84,00000026:-86,00000061:-85,10000023:-81,00000052:-81,10000431:-64,00000005:-70,00000029:-76,10000050:-88,10000046:-88,10000108:-89,10000038:-87,10000000:-62,10000067:-87,10000057:-84,00000206:-83,10000080:-84,10000072:-89,00000063:-86
10000004:-63,00000021:-64,10000009:-66,10000031:-69,10000016:-55,10000425:-59,10000426:-57,00000048:-72,00000427:-60,10000007:-74,10000428:-65,00000015:-80,10000022:-71,10000024:-81,00000003:-76,00000429:-68,00000430:-62,00000059:-85,00000028:-78,10000055:-84,10000013:-75,00000054:-75,00000053:-87,00000026:-86,00000061:-85,10000023:-81,00000052:-81,10000431:-64,00000005:-70,00000029:-76,10000050:-88,10000046:-88,10000108:-89,10000038:-86,10000000:-60,10000067:-88,10000057:-85,00000206:-83,10000080:-84,10000072:-90,00000063:-86,00000035:-84,10000163:-84,10000014:-88
10000004:-59,00000021:-60,10000009:-63,10000031:-69,10000016:-52,10000425:-59,10000426:-59,00000048:-73,00000427:-59,10000007:-73,10000428:-65,00000015:-80,10000022:-73,10000024:-82,00000003:-76,00000429:-68,00000430:-61,00000059:-85,00000028:-78,10000055:-84,10000013:-75,00000054:-77,00000053:-87,00000026:-86,00000061:-85,10000023:-81,00000052:-73,10000431:-72,00000005:-71,00000029:-77,10000050:-86,10000046:-89,10000108:-89,10000038:-86,10000000:-60,10000067:-88,10000057:-85,00000206:-83,10000080:-84,10000072:-90,00000063:-87,00000035:-84,10000163:-84,10000014:-88,10000069:-83,00000030:-86,00000017:-84,00000040:-61,10000037:-81,00000432:-61,10000036:-79
10000004:-60,00000021:-59,10000009:-62,10000031:-69,10000016:-53,10000425:-60,10000426:-58,00000048:-73,00000427:-59,10000007:-72,10000428:-59,00000015:-80,10000022:-73,10000024:-82,00000003:-64,00000429:-70,00000430:-61,00000059:-85,00000028:-78,10000055:-84,10000013:-77,00000054:-78,00000053:-87,00000026:-86,00000061:-85,10000023:-81,00000052:-73,10000431:-72,00000005:-71,00000029:-77,10000050:-86,10000046:-89,10000108:-89,10000038:-86,10000000:-60,10000067:-88,10000057:-85,00000206:-83,10000080:-84,10000072:-88,00000063:-87,00000035:-84,10000163:-84,10000014:-88,10000069:-83,00000030:-86,00000017:-86,00000040:-62,10000037:-81,00000432:-61,10000036:-79
10000004:-59,00000021:-59,10000009:-64,10000031:-71,10000016:-52,10000425:-60,10000426:-59,00000048:-73,00000427:-59,10000007:-72,10000428:-59,00000015:-80,10000022:-74,10000024:-82,00000003:-64,00000429:-69,00000430:-61,00000059:-85,00000028:-78,10000055:-84,10000013:-77,00000054:-78,00000053:-85,00000026:-86,00000061:-85,10000023:-81,00000052:-73,10000431:-69,00000005:-71,00000029:-77,10000050:-86,10000046:-89,10000108:-89,10000038:-86,10000000:-62,10000067:-88,10000057:-85,00000206:-83,10000080:-84,10000072:-88,00000063:-87,00000035:-84,10000163:-84,10000014:-87,10000069:-83,00000030:-86,00000017:-86,00000040:-62,10000037:-81,00000432:-61,10000036:-77,00000018:-52
10000004:-60,00000021:-61,10000009:-62,10000031:-71,10000016:-52,10000425:-60,10000426:-58,00000048:-73,00000427:-58,10000007:-73,10000428:-59,10000022:-74,10000024:-82,00000003:-62,00000429:-69,00000430:-61,00000059:-85,00000028:-78,10000055:-78,10000013:-77,00000054:-78,00000053:-85,00000026:-86,00000061:-85,10000023:-81,00000052:-73,10000431:-69,00000005:-71,00000029:-76,10000050:-86,10000046:-89,10000108:-89,10000038:-86,10000000:-62,10000067:-88,10000057:-85,00000206:-83,10000080:-84,10000072:-88,00000063:-85,00000035:-84,10000163:-84,10000014:-87,10000069:-82,00000030:-86,00000017:-86,00000040:-62,10000037:-81,00000432:-58,10000036:-81,00000018:-52,10000011:-85,00000074:-91
10000004:-58,00000021:-61,10000009:-62,10000031:-68,10000016:-53,10000425:-60,10000426:-58,00000048:-75,00000427:-60,10000007:-74,10000428:-61,10000022:-73,10000024:-77,00000003:-62,00000429:-70,00000430:-60,00000059:-85,00000028:-81,10000055:-78,10000013:-76,00000054:-77,00000053:-85,00000026:-86,00000061:-85,10000023:-81,00000052:-73,10000431:-69,00000005:-71,00000029:-76,10000050:-86,10000046:-89,10000108:-89,10000038:-86,10000000:-62,10000067:-85,10000057:-83,00000206:-83,10000080:-84,10000072:-88,00000063:-85,00000035:-84,10000163:-84,10000014:-87,10000069:-82,00000030:-86,00000017:-85,00000040:-62,10000037:-81,00000432:-58,10000036:-81,00000018:-52,10000011:-85,00000074:-91,10000043:-87
10000004:-60,00000021:-59,10000009:-63,10000031:-68,10000016:-53,10000425:-56,10000426:-59,00000048:-75,00000427:-60,10000007:-72,10000428:-59,10000022:-73,10000024:-77,00000003:-64,00000429:-70,00000430:-60,00000059:-85,00000028:-79,10000055:-81,10000013:-76,00000054:-77,00000053:-85,10000023:-81,00000052:-72,10000431:-73,00000005:-71,00000029:-77,10000050:-87,10000046:-89,10000038:-86,10000000:-62,10000067:-87,10000057:-83,00000206:-83,10000080:-84,10000072:-88,00000063:-85,00000035:-84,10000163:-84,10000014:-87,10000069:-82,00000030:-86,00000017:-86,00000040:-63,10000037:-81,00000432:-58,10000036:-81,00000018:-53,10000011:-85,00000074:-87,10000043:-87,00000027:-88
10000004:-61,00000021:-59,10000009:-61,10000031:-68,10000016:-53,10000425:-59,10000426:-58,00000048:-73,00000427:-59,10000007:-73,10000428:-59,10000022:-74,10000024:-82,00000003:-62,00000429:-70,00000430:-61,00000059:-85,00000028:-79,10000055:-81,10000013:-76,00000054:-77,00000053:-85,10000023:-83,00000052:-72,10000431:-73,00000005:-71,00000029:-77,10000050:-87,10000046:-89,10000038:-86,10000000:-64,10000067:-87,10000057:-83,00000206:-83,10000080:-84,10000072:-88,00000063:-88,00000035:-84,10000163:-84,10000014:-88,10000069:-82,00000030:-86,00000017:-86,00000040:-63,10000037:-81,00000432:-58,10000036:-79,00000018:-53,10000011:-85,00000074:-87,10000043:-88,00000027:-88,00000061:-82
